Id,Navigable,Name,Custom,Searchable,Orderable,Schema_Custom,Schema_System,Schema_Items,Schema_Custom_Id,Schema_Type
"statuscategorychangedate",True,"Status Category Changed",False,True,False,,"statuscategorychangedate",,,"datetime"
"parent",True,"Parent",False,False,False,,,,,
"fixVersions",True,"Fix versions",False,True,True,,"fixVersions","version",,"array"
"statusCategory",True,"Status Category",False,True,False,,,,,
"resolution",True,"Resolution",False,True,True,,"resolution",,,"resolution"
"lastViewed",True,"Last Viewed",False,False,False,,"lastViewed",,,"datetime"
"customfield_10060",True,"Open forms",True,True,True,"com.atlassian.jira.plugins.proforma-managed-fields:forms-open-field-cftype",,,10060,"number"
"customfield_10061",True,"Submitted forms",True,True,True,"com.atlassian.jira.plugins.proforma-managed-fields:forms-submitted-field-cftype",,,10061,"number"
"customfield_10062",True,"Locked forms",True,True,True,"com.atlassian.jira.plugins.proforma-managed-fields:forms-locked-field-cftype",,,10062,"number"
"customfield_10063",True,"Total forms",True,True,True,"com.atlassian.jira.plugins.proforma-managed-fields:forms-total-field-cftype",,,10063,"number"
"priority",True,"Priority",False,True,True,,"priority",,,"priority"
"labels",True,"Labels",False,True,True,,"labels","string",,"array"
"timeestimate",True,"Remaining Estimate",False,False,False,,"timeestimate",,,"number"
"aggregatetimeoriginalestimate",True,"Σ Original Estimate",False,False,False,,"aggregatetimeoriginalestimate",,,"number"
"versions",True,"Affects versions",False,True,True,,"versions","version",,"array"
"issuelinks",True,"Linked Issues",False,True,True,,"issuelinks","issuelinks",,"array"
"assignee",True,"Assignee",False,True,True,,"assignee",,,"user"
"status",True,"Status",False,True,False,,"status",,,"status"
"components",True,"Components",False,True,True,,"components","component",,"array"
"issuekey",True,"Key",False,False,False,,,,,
"customfield_10050",True,"Affected hardware",True,True,True,"com.atlassian.jira.plugin.system.customfieldtypes:textfield",,,10050,"string"
"customfield_10051",True,"Affected services",True,True,True,"com.atlassian.jira.plugins.service-entity:service-entity-field-cftype",,"service-entity-field",10051,"array"
"customfield_10052",True,"Severity",True,True,True,"com.atlassian.jira.plugin.system.customfieldtypes:select",,,10052,"option"
"customfield_10053",True,"Implementation plan",True,True,True,"com.atlassian.jira.plugin.system.customfieldtypes:textarea",,,10053,"string"
"customfield_10054",True,"Backout plan",True,True,True,"com.atlassian.jira.plugin.system.customfieldtypes:textarea",,,10054,"string"
"customfield_10055",True,"Test plan",True,True,True,"com.atlassian.jira.plugin.system.customfieldtypes:textarea",,,10055,"string"
"customfield_10056",True,"Planned start",True,True,True,"com.atlassian.jira.plugin.system.customfieldtypes:datetime",,,10056,"datetime"
"customfield_10057",True,"Planned end",True,True,True,"com.atlassian.jira.plugin.system.customfieldtypes:datetime",,,10057,"datetime"
"customfield_10058",True,"Time to review normal change",True,True,True,"com.atlassian.servicedesk:sd-sla-field",,,10058,"sd-servicelevelagreement"
