Issue_Key,Issue_Id,Fields_Summary,Fields_Priority_Name,Fields_Priority_Id,Fields_Assignee_AccountID,Fields_Project_Key,Fields_Project_Id,Fields_Created,Fields_Status_Name,Fields_Status_Category_Key,Fields_Issue_Type_Id,Fields_Issue_Type_Name,Fields_Reporter_AccountId,Fields_Updated,Fields_Duedate,Fields_Time_Estimate,Fields_Time_Original_Estimate
SD-1747,11758,Patching Batch Prod & MF Licensing Southeast 2022-09-28,4 - Service Request,4,62437973fd5e450070432282,SD,10000,19/09/2022,Peer review / change manager approval,indeterminate,10004,Change,62437973fd5e450070432282,10:36.5,,,
SD-1746,11757,Patching Batch Accp 2022-09-22,4 - Service Request,4,62437973fd5e450070432282,SD,10000,19/09/2022,Peer review / change manager approval,indeterminate,10004,Change,62437973fd5e450070432282,09:17.2,,,
SD-1745,11756,Patching Batch Dev & MF Licensing East 2022-09-20,3 - Routine,3,62437973fd5e450070432282,SD,10000,19/09/2022,Peer review / change manager approval,indeterminate,10004,Change,62437973fd5e450070432282,02:11.8,,,
SD-1744,11755,Enable & Configure Vulnerability assessment settings and setup Periodic scans,3 - Routine,3,6.26857E+23,SD,10000,19/09/2022,In Progress,indeterminate,10002,Service Request,6.26857E+23,48:51.9,,0,
SD-1743,11754,Nutanix Cluster Patching - 22nd Sep 2022,2 - High,2,62437973fd5e450070432282,SD,10000,19/09/2022,Peer review / change manager approval,indeterminate,10004,Change,62437973fd5e450070432282,00:51.4,,,
SD-1742,11753,Investigate current Mailbox archiving policies - NZHL,4 - Service Request,4,6.26857E+23,SD,10000,16/09/2022,In Progress,indeterminate,10002,Service Request,628c7a2a1c97b5006f0af34f,37:38.1,,,
SD-1741,11752,FW: [EMRGE] CVE-2022-22047 Elevation of Privilege Vulnerability affecting all Microsoft servers (Livestock Improvement Corporation),2 - High,2,62437973fd5e450070432282,SD,10000,16/09/2022,In Progress,indeterminate,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:2018b2dc-6398-4922-8099-22878f102f0d,22:18.8,,,
SD-1740,11751,Add labels/tags to resources - NZHL,4 - Service Request,4,6.26857E+23,SD,10000,16/09/2022,In Progress,indeterminate,10002,Service Request,628c7a2a1c97b5006f0af34f,29:59.2,,,
SD-1739,11750,Recalled email report,2 - High,2,6.26857E+23,SD,10000,16/09/2022,In Progress,indeterminate,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:0969058d-afd9-405a-9c48-53d201fc99c2,35:43.9,,0,
SD-1738,11749,Upgrade vnet-perimeter-auseast-002-bastion from Basic to Standard - NZGT ,2 - High,2,6.26857E+23,SD,10000,16/09/2022,In Progress,indeterminate,10002,Service Request,628c7a2a1c97b5006f0af34f,39:05.6,,,
SD-1737,11748,Urgent - User not able to login YiYang ,2 - High,2,62437973fd5e450070432282,SD,10000,16/09/2022,Work in progress,indeterminate,10001,Incident,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:a24949a5-808e-4388-b385-fc8226e920f0,03:17.7,,0,
SD-1736,11747,ICG all backups failing,2 - High,2,62437973fd5e450070432282,SD,10000,16/09/2022,Work in progress,indeterminate,10001,Incident,62437973fd5e450070432282,55:36.8,,,
SD-1735,11746,SCHS: Cloudflare WAF Exclusions Set 2,2 - High,2,61e4f2a609633b0069a64d50,SD,10000,15/09/2022,Implementing,indeterminate,10004,Change,61e4f2a609633b0069a64d50,16:17.9,,,
SD-1734,11745,T20220908.0106 - Excel Issues,4 - Service Request,4,62437973fd5e450070432282,SD,10000,15/09/2022,In Progress,indeterminate,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:a65b040a-7ef6-40ea-a670-a5f7f8b09e5b,57:14.7,,0,
SD-1733,11744,Host Not Reporting for at least 5 minutes on 'seadcpdaue02',2 - High,2,6.26857E+23,SD,10000,14/09/2022,Work in progress,indeterminate,10001,Incident,6.26857E+23,46:19.0,,,
SD-1732,11743,Sealink help accessing externally SQL database,2 - High,2,62437973fd5e450070432282,SD,10000,14/09/2022,In Progress,indeterminate,10002,Service Request,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:0894b637-1120-4772-a178-02c707c8f7c5,44:43.7,,0,
SD-1731,11742,[Kordia Corp SQL]Switch SQL database recovery mode to Simple,2 - High,2,62b5201bb065974c3e25a69b,SD,10000,14/09/2022,Closed,done,10004,Change,62b5201bb065974c3e25a69b,55:15.7,,,
SD-1730,11741,Urgent issues with NZGT User ,2 - High,2,62437973fd5e450070432282,SD,10000,14/09/2022,Work in progress,indeterminate,10001,Incident,qm:d764603b-b3b7-4477-8dc8-a5042ab73857:a24949a5-808e-4388-b385-fc8226e920f0,17:48.3,,,
